Race,IFNG,CCL4,IL33,PDL2,CD3,ICOSLG,MSH2,RAD52,PRKCD,DNArepair,CD274,IFNB1,PDCD1,B2M,IFNAR1,JAK1,TYK2,TLR3,TLR9,TNFRSF4,IL15,TIGIT,GZMA,ATM,BCL6,BRCA1,BRCA2,CD163,CD19,CD40,CD86,CXCL9,CXCR5,EZH2,HLA-DRA,ICAM1,IDO1,IL6,ITGAM,ITGAX,NFKB2,NOS2,PECAM1,STAT3,TNF,VCAM1,HLA-E,CTLA4,GZMB,PRF1,GNLY,HLA-A,HLA-B,HLA-C,IFNGR1,IFNGR2,STAT1,IRF1,PSMB9,ICAM2,ICAM3,ICAM4,ICAM5,CCR5,CCL3,CCL5,CXCL10,CXCL11,IL7R,CYBB,HLA-DQA1,HLA-DMA,CD84,HLA-DPA1,HLA-DQB1,CD4,CD3D,CD3G,PTPRC,CD2,CD96,CD3E,HLA-F,HLA-G,CD1C,HAVCR2,SH2D1A,TNFRSF17,MS4A1,C10orf54,FLT3LG,CD68,FOXP3,KIR2DL1,KIR2DL3,NCR3LG1,RAD1,MSH6,MLH1,PALB2,PMS2,ATR,CHEK1,CHEK2,FANCF,RAD51,MDC1,PARP1,IL2RA,CXCR3,CXCR6,SIGLEC7,CD276,VTCN1,HHLA2,CD8A,CD8B,KLRC2,NCR1,KLRK1
White (Non-Hispanic),0.111216726,0.639873947,0.493852886,0.237976518,0.194936547,0.295469566,0.078101769,0.052177096,0.412561104,-0.790647825,-0.06891328,-0.089426082,0.250985229,1.509884412,0.628222488,0.587419347,0.044504731,0.443832277,-0.048036805,-0.088046605,-0.181995656,-0.020079101,0.481034301,0.450092738,0.318848922,-0.049294492,-0.009171164,0.048366006,-0.09988904,0.10862172,0.049527907,0.414027087,-0.168344339,0.060582174,1.754787378,0.025382157,-0.008589415,-0.031727789,-0.137719612,0.045908557,0.022209256,-0.125943137,0.250593561,0.930536177,0.033827544,0.195024787,0.639496053,0.044199578,0.243536858,-0.104883139,-0.007414867,0.640020985,0.681767915,0.643623951,0.348455979,0.389685498,0.72707894,0.361911986,0.257352271,0.148180743,0.049247537,-0.409805769,-0.260657499,0.24659605,0.213012572,1.360133652,0.10309012,-0.162249487,0.267323065,0.367460035,0.252804161,0.086240133,0.088043724,0.820366031,0.929202143,0.2342485,0.199387999,0.194936547,0.440126778,0.337960083,0.220250084,0.368018034,0.197300574,-0.022734344,0.070694126,0.16048856,-0.074571428,0.026874585,0.043845661,0.279263607,0.011512387,0.780146427,0.045461411,-0.248299715,-0.157832266,0.040126514,0.733934285,0.371029164,0.132659903,0.256726009,0.288245274,0.249932179,-0.067729757,0.023132538,0.020389934,0.029242061,0.113112372,0.156734204,-0.044009876,-0.233779868,0.130622648,0.034212535,0.369190683,0.327616235,-0.054442705,0.016150563,0.18721541,0.207269094,0.049847366,0.277961193
African American,0.145488839,0.05954003,0.154507666,0.138834855,0.100013303,0.576025001,0.114138738,0.111858107,0.270333459,-0.611383959,-0.008047962,-0.229787723,0.138121737,1.260014545,0.428884476,0.333893654,0.084162709,0.092179814,-0.103851443,0.137943814,-0.039905062,-0.084715629,0.246718478,0.214654652,0.375475037,0.016824854,-0.052486352,-0.005486573,-0.016938029,0.065487486,0.001331067,0.018196787,0.034321653,0.012447667,2.481311591,0.322855618,-0.095222873,0.022367833,0.032294747,0.349707269,0.239510723,-0.023666384,0.353705899,1.010900157,-0.130300814,0.394830132,0.60676156,0.016006974,0.23091424,0.084378168,-0.09877877,0.478519405,0.634972894,1.033726773,0.261451096,0.125529327,0.935093248,0.394777801,0.245254661,0.096905536,0.1119883,-0.211373949,-0.068110479,0.70465542,0.373613941,0.578150862,-0.043634589,-0.233677463,0.380796286,0.458191599,1.350099486,0.412805821,-0.032480506,0.982725972,1.260963975,0.168555198,0.098704953,0.100013303,0.30342067,0.115159101,0.170520691,0.245279822,0.191230986,0.104226647,0.048436981,0.006625436,-0.057219842,-0.155969419,-0.05117054,0.339583791,0.219541382,1.58801411,-0.004890322,-0.071778577,-0.097867655,-0.080666303,0.424137775,0.236796813,0.297271398,0.056212635,0.170586965,0.211049448,0.033925302,0.062344862,-0.064098722,0.018832479,0.041736787,0.208804735,-0.019185051,0.013413145,0.092815469,0.167932045,0.196861315,0.176727549,-0.039272648,0.039474673,0.296276433,0.025700795,0.131006309,0.004693759
White (Non-Hispanic),-0.087130221,-0.015483457,0.031010888,0.099708189,-0.084799299,0.473625607,0.193251934,0.153297615,0.208821015,0.13286545,0.005208543,-0.036549632,0.344877878,0.676423163,0.299148971,0.185141353,0.03392397,-0.02126917,0.028563606,0.241045474,-0.109638042,-0.03725525,0.200115124,0.12026069,0.139213866,0.051251308,-0.058622273,-0.011340901,0.027148746,0.028593748,0.005095451,-0.088939617,-0.082943033,0.07643328,0.465900331,-0.128257739,0.018218196,-0.035145717,-0.022759918,0.030681806,0.028727294,-0.005630889,0.071200894,0.264290821,-0.016578951,0.047594661,0.39011817,0.0381143,0.159205027,0.048937326,-0.026247956,0.060196957,0.284438735,0.312329352,0.186573448,0.115829999,0.287252103,0.092771958,0.099953055,0.166456266,0.252157006,-0.253321195,-0.092226323,0.215675998,0.176943745,0.276298451,-0.053717634,-0.106358921,-0.054479884,0.03437344,0.255120849,-0.029936577,0.036885165,0.146424225,0.540370387,0.121969333,-0.002341333,-0.084799299,0.034409567,0.026362711,0.004099738,-0.104918112,0.051077401,0.041289302,0.066843549,0.037026647,-0.056837449,-0.107992128,-0.070155517,0.10250378,0.120606393,0.330743683,0.216752457,-0.13453058,-0.076108682,0.117659801,0.659129985,0.350856318,0.177694034,0.144666757,0.316708766,0.187740533,0.018058264,0.005647654,0.190406184,-0.058220304,0.062002457,0.306059687,-0.032435306,-0.068227072,0.189973993,0.067407022,0.171853869,0.137970399,-0.086575858,-0.018809803,0.239030856,0.154097578,0.076415796,0.053308122
African American,-0.312272799,0.462981473,0.177226964,0.000572661,0.008400936,0.184871548,0.412952549,0.376746399,1.003751737,-0.107113916,-0.169347132,-0.348507123,0.335699684,1.42683079,0.766219362,0.687853035,0.143469153,0.099530179,0.070901614,0.098801751,-0.224100662,-0.026584956,0.354819389,0.535961017,0.425879264,0.058366188,-0.142576325,0.078890925,-0.131758325,-0.017205938,0.031290634,0.439018555,-0.122560468,0.254748157,1.944986401,-0.076257313,-0.00646574,-0.095272462,-0.080998272,0.218919253,0.066635716,-0.142996175,0.226639808,1.118066702,-0.079381278,0.173314824,0.679260589,-0.018272755,0.191570591,0.069968819,0.103315142,0.555378,0.615524373,0.682770976,0.61619378,0.399825621,1.173591146,0.244798614,0.344925334,0.111147577,0.262957366,-0.33851112,-0.304226779,0.239660423,0.487399951,0.665563539,0.52937879,0.071825425,0.263824779,0.352474364,0.866057073,0.608625866,0.204418327,0.74707548,0.560122399,0.134648019,0.177779337,0.008400936,0.63367952,0.289232564,0.179604687,0.180091134,0.222262317,0.066037932,0.185185402,-0.042192549,-0.106701589,-0.21854797,0.032301805,0.053549395,0.133092758,1.046944961,0.109471067,-0.209864739,-0.190313173,-0.057782665,0.883267373,0.614687508,0.630291255,0.281760428,0.763863028,0.601630243,-0.043265619,0.039138899,-0.03087486,-0.034251952,0.397441763,0.375774176,-0.064344186,-0.251400978,0.134812995,0.009876671,0.51183721,0.042114535,-0.178444069,0.141202121,0.142694687,-0.133369022,-0.022961054,-0.022399412
African American,-0.158007137,0.129270586,0.09424062,0.024208015,0.046560478,0.18902792,0.17731469,0.313917062,0.671353528,-0.241157719,-0.120374914,-0.306707652,0.230713613,1.467818518,1.100661401,0.521213254,0.066357623,0.288703842,-0.120729326,-0.122304463,-0.230084547,-0.148643809,0.397707782,0.540901025,0.283533016,-0.034823291,-0.073631139,0.059361972,-0.122919211,-0.005666106,0.076498774,0.452600937,-0.266547971,0.008574193,1.82021471,0.040603467,-0.014909806,-0.201835362,-0.03213836,0.058811926,0.100659013,-0.156422645,0.221812887,0.95438655,-0.119649643,-0.01144262,0.575768885,0.097625555,0.214691464,0.005529708,-0.134716142,0.589210392,0.548621087,0.837749389,0.672018536,0.628013484,1.095548798,0.206422676,0.244774522,0.076346824,0.066337984,-0.495591432,-0.33949703,0.108075939,0.057965963,0.566291713,0.679975343,0.159402283,0.04505239,0.173425905,0.566797176,0.167519496,0.044511604,0.713044681,1.078571644,-0.015740939,0.138561864,0.046560478,0.278513824,0.057901458,0.157546504,0.063273764,0.137768104,-0.001789923,0.077951145,0.098716434,0.034276842,-0.135360926,-0.07795568,0.08949207,-0.015310003,1.011744722,-0.027863408,-0.290904335,-0.259032061,0.138054221,0.709145445,0.491214045,0.35332795,0.239884468,0.426404772,0.4885736,-0.026412878,0.003736932,0.21350207,-0.013660393,0.159494205,0.308034572,-0.034418682,-0.206109816,0.033295911,0.043856841,0.721290129,-0.008255562,-0.27164097,-0.127953345,0.178449246,0.043422877,-0.100018233,0.100956707
African American,0.05245572,0.336358463,0.497672224,0.149641793,0.225453338,0.330877133,0.188566226,0.281790921,0.381192414,-0.61268665,0.071881734,-0.062820335,0.151857132,1.738469837,0.581861951,0.561409444,0.127421244,0.26140861,0.138248615,0.019386871,-0.139440774,-0.092584853,0.659486261,0.575330887,0.30399282,0.055633198,-0.003809929,0.166372543,0.002381273,0.137859086,0.202768931,1.447379856,-0.151282098,-0.024812148,2.579734815,0.147278683,0.033054187,-0.029360372,0.057965824,0.261225167,0.169728769,-0.045529671,0.508935495,0.948084952,-0.141707036,0.45881729,0.819781423,0.144290736,0.236995698,0.139995948,-0.056314752,0.866841626,0.93391588,1.025453538,0.381388798,0.572451347,1.038957797,0.374544883,0.252432478,0.173729428,0.165840249,-0.249999106,-0.134961042,0.471728733,0.198848002,1.366285078,1.173790208,0.401225431,0.417453722,0.532278606,1.358044494,0.207425198,0.188365829,1.134519331,1.207882474,0.319062985,0.597515945,0.225453338,0.880550213,0.407564037,0.296629999,0.180832709,0.279884975,-0.011084278,0.403628425,-0.001907496,-0.077811238,-0.250076863,0.169801073,0.21577566,0.247454688,1.077133742,0.157915471,-0.234324474,-0.153102793,-0.003207767,0.830266396,0.314854812,0.290377327,0.234445761,0.325269822,0.239954081,-0.032525851,0.046976717,0.003077984,0.025563361,0.168061653,0.199625987,0.127116316,0.003331432,0.159901989,0.093489716,0.343188914,0.073366107,-0.188372475,0.001805857,0.288702051,-0.006699441,-0.020860582,0.187016602
African American,-0.225170734,0.552721576,0.430042493,0.089813332,0.280355739,0.33274927,0.079232845,0.331283326,0.413753901,-0.60958406,0.03250791,-0.057773036,0.234820283,1.816569443,0.685242333,0.456576056,0.147710727,0.362233125,0.032717363,0.042420632,-0.127072107,0.02189743,0.198480314,0.399125456,0.418567064,0.16878667,-0.008279782,-0.042630447,0.04007034,0.135911902,0.134872801,0.408092912,-0.089043245,-0.017245366,2.190719764,0.063236177,0.005139806,0.080142183,0.017695275,0.148512294,0.217697813,-0.023128892,0.353303479,1.130227633,-0.141101116,0.387563103,0.864965928,0.108163801,0.365576659,0.251956931,0.044883161,0.993031121,0.801123451,1.152096132,0.37369966,0.225702565,0.763474898,0.262232407,0.140462721,0.244396991,0.151547879,-0.20496209,-0.070387833,0.270964936,0.459017338,1.448135386,0.000293301,-0.113442425,0.66476671,0.323895039,0.57509068,0.263364673,0.137404385,0.961751725,0.965218947,0.179054511,0.434269768,0.280355739,0.786760912,0.387623398,0.371118873,0.163204557,0.241257438,0.111190282,0.194540555,0.022261396,0.032095208,-0.096273796,-0.041815568,0.30402267,0.181304276,0.82982805,0.050939906,-0.162970445,-0.079281671,0.217722825,0.598171348,0.255908467,0.282185813,0.21489783,0.371268744,0.380123297,-0.019049295,0.148948861,-0.045581265,-0.039999613,0.15297572,0.169180069,0.106621139,-0.15240794,0.034202928,0.185981459,0.472660512,0.281300436,-0.123433788,0.187777392,0.380990471,0.024952106,0.056983644,0.18573592
White (Non-Hispanic),0.135047201,0.049861134,0.069598901,0.37448411,0.108597269,0.138288499,0.035688389,0.149821216,0.158913474,-0.582405417,0.000349592,-0.000176796,0.218064814,1.522284797,0.176405424,0.283657307,0.070249869,0.138328604,-0.005832324,-0.004479534,-0.040631963,0.073872866,0.24322153,0.153379552,0.085363945,-0.028942675,-0.022392191,0.170615346,0.053791476,0.077791303,-0.058565947,0.78336765,-0.020384238,0.043139599,2.112329515,-0.093090808,-0.044970497,-0.098818798,0.019267707,0.162580498,0.091304587,0.00116295,0.152728846,0.658608721,0.07589157,0.14126818,0.774351426,0.229041411,0.166727003,0.070154824,0.035857435,0.732909597,0.885099649,0.86381986,0.511763878,0.45822381,0.626748124,0.118985309,0.119099107,0.16061406,0.092658952,0.005755573,-0.137631508,0.239661364,0.325181549,1.339306282,0.361835421,-0.091935849,0.552810607,0.148318185,0.871046145,0.196923324,0.364462981,0.885743602,1.696603269,0.253702549,0.439044994,0.108597269,0.472999544,0.260785901,0.157029716,0.117904631,0.080351356,0.216988311,-0.081073115,0.145628774,0.163888446,-0.043999033,0.035543254,0.282407805,0.180707662,1.349900703,-0.066961815,-0.12841668,-0.086896504,0.111432927,0.430710934,0.20753281,0.177996168,0.06856637,0.087989345,0.068890274,0.005222436,-0.049577756,0.09368167,-0.020979827,0.198914176,0.090146424,0.068729531,0.027272708,0.023705511,0.073740327,0.089348817,0.160435942,-0.007623397,-0.032266566,0.154616487,0.086990629,0.027439671,0.065962597
White (Non-Hispanic),-0.053338527,0.085687545,0.161115458,-0.115873065,0.007780551,0.238159591,0.046738591,0.065289605,0.119795346,-0.943770244,-0.088621411,0.1110804,0.081989291,0.403711756,0.047548712,0.017501882,0.027719912,0.028533238,0.260239735,-0.022741286,-0.087308327,0.035452428,0.25746594,0.045362,0.092174817,-0.014512272,-0.024421778,-0.006021156,0.117920986,0.086143378,-0.002190179,0.013167649,-0.028383149,0.033804075,0.460217105,-0.034427701,-0.108472806,0.058975766,0.010542433,0.047230756,0.036131298,0.053473598,-0.018938337,0.11026934,0.096519519,0.117670481,0.326774154,0.164889306,0.172111857,0.201361532,-0.02387561,0.214877134,0.288146299,0.302222387,-0.056932722,0.050208894,0.221585799,0.070885895,0.191963675,0.101224592,-0.006190038,-0.068347291,-0.089171468,0.257675557,0.141415003,0.878663375,-0.013285902,-0.186983184,0.013806572,0.104964812,0.028051584,0.070774911,0.097530455,0.480890051,1.00748542,0.021580278,0.120249783,0.007780551,0.096989306,-0.075758991,0.122057899,0.049131606,-0.022721379,0.156887016,0.005406726,0.188890054,0.068745829,-0.217006551,0.164592741,0.218028053,0.170207704,0.464434493,0.046547175,0.080496875,-0.090348815,0.084906764,0.381080038,0.091288787,0.044253377,0.072181823,0.052155903,-0.024706137,-0.068911605,0.030219371,-0.194793994,0.067800176,0.139155331,0.05440992,-0.029911792,-0.020561571,0.200200994,0.14609057,-0.002793736,0.203960386,-0.045624108,0.052430559,0.063425951,0.156535327,0.050359606,0.065042758
White (Non-Hispanic),-0.1702432,0.177544676,0.052080635,0.00314697,-0.025869257,0.302307593,0.181655781,0.389801683,0.442769707,-0.208265287,-0.080226761,-0.168747745,0.222273169,0.741840242,0.377919359,0.209501752,-0.034789217,0.118631073,-0.127225203,0.08259904,-0.166086526,-0.085098389,0.390333614,0.244397497,0.068550732,-0.032555004,-0.116060391,0.176015539,0.078984142,-0.002176504,0.149824824,-0.009495721,-0.178378777,0.045358938,1.457874716,-0.146109746,-0.039428239,-0.133055619,-0.041393237,0.040941156,0.010564751,-0.091481596,0.120825049,0.573187592,0.059367968,0.148701828,0.388542183,-0.105628524,0.378596177,0.08102563,-0.082497715,0.410019762,0.419043969,0.406477127,0.535749507,0.281960553,0.58802936,0.074794196,0.265429702,0.102775975,0.190865957,-0.251655899,-0.124152387,0.182625425,0.095030792,0.506797819,-0.025155363,-0.109809577,0.079263222,0.059255773,0.726152794,0.105948077,0.023310664,0.464689479,1.125177589,0.058554592,-0.005112442,-0.025869257,0.243802608,0.085404249,0.04877722,0.017300096,0.228407473,0.059665073,0.193208544,-0.009938504,0.02041356,-0.039303203,-0.032444813,0.256404125,0.223431587,0.736274705,0.110748304,-0.132170485,-0.045106886,0.015745868,0.642605333,0.305688968,0.155511349,0.313001982,0.297380691,0.287062491,0.081456293,0.09107914,0.00941,-0.058267329,0.139708162,0.137762678,0.035988864,-0.009581735,-0.12597499,0.208342143,0.298514577,0.206302829,-0.068337722,0.001879427,0.198114467,0.109002646,0.048232519,0.011621493
