ID,Gene Symbol,Unnamed: 2,ID_REF,new_ID,Mapped Gene Symbol
2315554.0,TTLL10; MIR200B; MIR200A; MIR429,,2315554,2315554,TTLL10; MIR200B; MIR200A; MIR429
2315633.0,B3GALT6,,2315633,2315633,B3GALT6
2315674.0,SCNN1D,,2315674,2315674,SCNN1D
2315739.0,PUSL1,,2315739,2315739,PUSL1
2315894.0,VWA1; ATAD3C,,2315894,2315894,VWA1; ATAD3C
2315918.0,ATAD3C,,2315918,2315918,ATAD3C
2315951.0,ATAD3A; ATAD3B,,2315951,2315951,ATAD3A; ATAD3B
2316218.0,CALML6,,2316218,2316218,CALML6
2316245.0,PRKCZ,,2316245,2316245,PRKCZ
2316379.0,SKI,,2316379,2316379,SKI
2316558.0,RER1,,2316558,2316558,RER1
2316746.0,FAM213B,,2316605,2316746,
2316905.0,ACTRT2,,2316746,2316905,FAM213B
2316953.0,PRDM16,,2316905,2316953,ACTRT2
2317246.0,ARHGEF16,,2316953,2317246,PRDM16
2317317.0,TP73,,2317246,2317317,ARHGEF16
2317434.0,TPRG1L,,2317317,2317434,TP73
2317472.0,CCDC27,,2317434,2317472,TPRG1L
2317512.0,DFFB,,2317472,2317512,CCDC27
2317686.0,AJAP1,,2317512,2317686,DFFB
2318086.0,KCNAB2,,2317686,2318086,AJAP1
2318157.0,RNF207,,2318086,2318157,KCNAB2
2318170.0,RNF207,,2318157,2318170,RNF207
2318212.0,LINC00337,,2318170,2318212,RNF207
2318242.0,LOC100130071,,2318212,2318242,LINC00337
2318257.0,ESPN,,2318242,2318257,LOC100130071
2318338.0,TAS1R1,,2318257,2318338,ESPN
2318364.0,ZBTB48,,2318338,2318364,TAS1R1
2318398.0,PHF13,,2318364,2318398,ZBTB48
2318416.0,THAP3,,2318398,2318416,PHF13
2318455.0,CAMTA1; CAMTA1-IT1,,2318416,2318455,THAP3
2318637.0,VAMP3,,2318455,2318637,CAMTA1; CAMTA1-IT1
2318656.0,PER3,,2318637,2318656,VAMP3
2318736.0,PARK7,,2318656,2318736,PER3
2318743.0,,,2318736,2318743,PARK7
2318744.0,,,2318743,2318744,
2318746.0,,,2318744,2318746,
2318747.0,,,2318746,2318747,
2318751.0,,,2318747,2318751,
2318754.0,,,2318751,2318754,
2318755.0,,,2318754,2318755,
2319225.0,H6PD,,2318755,2319225,
2319252.0,SPSB1,,2318759,2319252,
2319340.0,SLC25A33; RPL9P11,,2318761,2319340,
2319423.0,PIK3CD,,2318763,2319423,
2319518.0,NMNAT1,,2318765,2319518,
2319550.0,RBP7,,2318767,2319550,
2319560.0,UBE4B,,2318769,2319560,
2319661.0,KIF1B,,2318771,2319661,
2319802.0,PGD,,2318773,2319802,
2319832.0,APITD1-CORT; CORT; APITD1,,2318775,2319832,
2319881.0,PEX14,,2318777,2319881,
2320048.0,TARDBP,,2318779,2320048,
2320051.0,,,2318781,2320051,
2320052.0,,,2318783,2320052,
2320058.0,,,2318785,2320058,
2320059.0,,,2318787,2320059,
2320060.0,,,2318789,2320060,
2320062.0,,,2318791,2320062,
2320063.0,,,2318793,2320063,
2320064.0,,,2318795,2320064,
2320065.0,,,2318797,2320065,
2320066.0,,,2318799,2320066,
2320067.0,,,2318801,2320067,
2320068.0,,,2318803,2320068,
2320069.0,,,2318805,2320069,
2320070.0,,,2318807,2320070,
2320071.0,,,2318809,2320071,
2320075.0,,,2318811,2320075,
2320077.0,,,2318813,2320077,
2320078.0,,,2318815,2320078,
2320188.0,ANGPTL7,,2318817,2320188,
2320210.0,UBIAD1,,2318819,2320210,
2320347.0,FBXO44,,2318821,2320347,
2320374.0,FBXO6,,2318823,2320374,
2320392.0,DRAXIN,,2318825,2320392,
2320411.0,AGTRAP,,2318827,2320411,
2320472.0,CLCN6; NPPA-AS1,,2318829,2320472,
2320581.0,PLOD1,,2318831,2320581,
2320619.0,MFN2,,2318833,2320619,
2320657.0,MIIP; MIR6729,,2318835,2320657,
2320683.0,TNFRSF8,,2318837,2320683,
2321011.0,C1orf158; PRAMEF12,,2318839,2321011,
2321040.0,PRAMEF1; PRAMEF28; PRAMEF13,,2318841,2321040,
2321182.0,PDPN,,2318843,2321182,
2321238.0,PRDM2; KAZN,,2318845,2321238,
2321466.0,KAZN,,2318847,2321466,
2321607.0,KAZN,,2318849,2321607,
2321645.0,TMEM51,,2318851,2321645,
2321779.0,EFHD2,,2318853,2321779,
2321797.0,CTRC,,2318855,2321797,
2321813.0,CELA2A; CELA2B,,2318857,2321813,
2321828.0,CELA2B,,2318859,2321828,
2321849.0,DNAJC16,,2318861,2321849,
2321911.0,DDI2,,2318863,2321911,
2321942.0,RSC1A1; DDI2,,2318865,2321942,
2321960.0,PLEKHM2,,2318867,2321960,
2322004.0,SLC25A34,,2318869,2322004,
2322036.0,FBLIM1,,2319135,2322036,
2322103.0,SPEN,,2319225,2322103,H6PD
2322211.0,C1orf64,,2319252,2322211,SPSB1
2322226.0,CLCNKA,,2319340,2322226,SLC25A33; RPL9P11
2322264.0,CLCNKB,,2319423,2322264,PIK3CD
2322362.0,SZRD1,,2319518,2322362,NMNAT1
2322389.0,NECAP2,,2319550,2322389,RBP7
2322598.0,CROCC; RNVU1-18; RNU1-3; RNU1-4; RNU1-2; RNU1-1; RNU1-28P; RNU1-27P,,2319560,2322598,UBE4B
