ID_REF,Mapped Chromosome Position
2315554.0,chr1:1095869-1135910
2315633.0,chr1:1165740-1170393
2315674.0,chr1:1206658-1227386
2315739.0,chr1:1243987-1247168
2315894.0,chr1:1370261-1378258
2315918.0,chr1:1381162-1405538
2315951.0,chr1:1407062-1470060
2316218.0,chr1:1840160-1848733
2316245.0,chr1:2036175-2120773
2316379.0,chr1:2156254-2241652
2316558.0,chr1:2323242-2336861
2316605.0,chr1:2357247-2436961
2316746.0,chr1:2501427-2522902
2316905.0,chr1:2932337-2939467
2316953.0,chr1:2985582-3355183
2317246.0,chr1:3371167-3397634
2317317.0,chr1:3470696-4007861
2317434.0,chr1:3532909-3546682
2317472.0,chr1:3668962-3688208
2317512.0,chr1:3772468-3801990
2317686.0,chr1:4357361-5192986
2318086.0,chr1:6051549-6161232
2318157.0,chr1:6265535-6268365
2318170.0,chr1:6268688-6281341
2318212.0,chr1:6296320-6299500
2318242.0,chr1:6326842-6327282
2318257.0,chr1:6484858-6521597
2318338.0,chr1:6594521-6639817
2318364.0,chr1:6640131-6649330
2318398.0,chr1:6664315-6684083
2318416.0,chr1:6684873-6695655
2318455.0,chr1:6845394-7829758
2318637.0,chr1:7831329-7841485
2318656.0,chr1:7844394-7929687
2318736.0,chr1:8021733-8045545
2318743.0,control
2318744.0,control
2318746.0,control
2318747.0,control
2318751.0,control
2318754.0,control
2318755.0,control
2318759.0,control
2318761.0,control
2318763.0,control
2318765.0,control
2318767.0,control
2318769.0,control
2318771.0,control
2318773.0,control
2318775.0,control
2318777.0,control
2318779.0,control
2318781.0,control
2318783.0,control
2318785.0,control
2318787.0,control
2318789.0,control
2318791.0,control
2318793.0,control
2318795.0,control
2318797.0,control
2318799.0,control
2318801.0,control
2318803.0,control
2318805.0,control
2318807.0,control
2318809.0,control
2318811.0,control
2318813.0,control
2318815.0,control
2318817.0,control
2318819.0,control
2318821.0,control
2318823.0,control
2318825.0,control
2318827.0,control
2318829.0,control
2318831.0,control
2318833.0,control
2318835.0,control
2318837.0,control
2318839.0,control
2318841.0,control
2318843.0,control
2318845.0,control
2318847.0,control
2318849.0,control
2318851.0,control
2318853.0,control
2318855.0,control
2318857.0,control
2318859.0,control
2318861.0,control
2318863.0,control
2318865.0,control
2318867.0,control
2318869.0,control
2319135.0,chr1:8954010-9035146
2319225.0,chr1:9294224-9331392
2319252.0,chr1:9352942-9429580
2319340.0,chr1:9566524-9644032
2319423.0,chr1:9690051-10049747
2319518.0,chr1:10003394-10047425
2319550.0,chr1:10057317-10076078
2319560.0,chr1:10092897-10241274
2319661.0,chr1:10270548-10441651
2319802.0,chr1:10459583-10480565
2319832.0,chr1:10490159-10514074
2319881.0,chr1:10532365-10690792
2320048.0,chr1:11072438-11090583
2320051.0,control
2320052.0,control
2320058.0,control
2320059.0,control
2320060.0,control
2320062.0,control
2320063.0,control
2320064.0,control
2320065.0,control
2320066.0,control
2320067.0,control
2320068.0,control
2320069.0,control
2320070.0,control
2320071.0,control
2320075.0,control
2320077.0,control
2320078.0,control
2320088.0,control
2320090.0,control
2320092.0,control
2320094.0,control
2320096.0,control
2320098.0,control
2320100.0,control
2320102.0,control
2320104.0,control
2320106.0,control
2320108.0,control
2320110.0,control
2320112.0,control
2320114.0,control
2320116.0,control
2320118.0,control
2320120.0,control
2320122.0,control
2320124.0,control
2320126.0,control
2320128.0,control
2320130.0,control
2320132.0,control
2320134.0,control
2320136.0,control
2320138.0,control
2320140.0,control
2320142.0,control
2320144.0,control
2320146.0,control
2320148.0,control
2320150.0,control
2320188.0,chr1:11249366-11256038
2320210.0,chr1:11333275-11355271
2320347.0,chr1:11714432-11723378
2320374.0,chr1:11724181-11734394
2320392.0,chr1:11750884-11785911
2320411.0,chr1:11796161-11810821
2320472.0,chr1:11866135-11908118
2320581.0,chr1:11994287-12035587
2320619.0,chr1:12040361-12073557
2320657.0,chr1:12079319-12116937
2320683.0,chr1:12123434-12204262
2320727.0,chr1:12227060-12269736
2320762.0,chr1:12290132-12572094
2321011.0,chr1:12806140-12823847
2321040.0,chr1:12851546-12856767
2321058.0,chr1:12916925-12921764
2321182.0,chr1:13852121-13979989
2321238.0,chr1:14026702-14242255
2321466.0,chr1:14921034-15394641
2321607.0,chr1:15416961-15466639
2321645.0,chr1:15479082-15546970
2321779.0,chr1:15736411-15757018
2321797.0,chr1:15764961-15773496
2321813.0,chr1:15783120-15798583
2321828.0,chr1:15802621-15818452
2321849.0,chr1:15853108-15918874
2321911.0,chr1:15943975-15995534
2321942.0,chr1:15985923-15988217
2321960.0,chr1:16009771-16061259
2322004.0,chr1:16061846-16067884
2322036.0,chr1:16083109-16114357
2322103.0,chr1:16174359-16266946
2322211.0,chr1:16330731-16339635
2322226.0,chr1:16345380-16360545
2322264.0,chr1:16368825-16383780
2322362.0,chr1:16693760-16724639
2322389.0,chr1:16767187-16786983
2322598.0,chr1:17066778-17299454
2322786.0,chr1:17531630-17572500
2322818.0,chr1:17575593-17610725
2322848.0,chr1:17634692-17690494
2322894.0,chr1:17698652-17727968
2322957.0,chr1:17846837-18039125
2323087.0,chr1:18081818-18204213
2323172.0,chr1:18434240-18724342
2323285.0,chr1:18736215-18812478
2323347.0,chr1:18896758-19153152
2323559.0,chr1:19578053-19586601
2323603.0,chr1:19638787-19665346
2323743.0,chr1:19934353-19935104
2323774.0,chr1:19751280-19985905
2323790.0,chr1:19991780-20007459
2323847.0,chr1:20354682-20417653
2323882.0,chr1:20465818-20477671
2323899.0,chr1:20499184-20529300
2323951.0,chr1:20617397-20680752
2324061.0,chr1:20878942-20902808
2324084.0,chr1:20915451-20945395
2324097.0,chr1:20959948-20978162
2324341.0,chr1:21749756-21811392
2324416.0,chr1:21835869-21904893
2324571.0,chr1:22303407-22325135
2324594.0,chr1:22328022-22339021
2324616.0,chr1:22351701-22357701
2324634.0,chr1:22378994-22441809
2324743.0,chr1:22778350-22874889
2324820.0,chr1:22879493-22930087
2324856.0,chr1:22944682-22966155
2324873.0,chr1:22970128-22974590
2324884.0,chr1:22979494-23050035
2324919.0,chr1:23037304-23270581
2325002.0,chr1:23336334-23410173
2325113.0,chr1:23695470-23698322
2325158.0,chr1:23907995-23967039
2325192.0,chr1:24017995-24023615
2325197.0,control
2325198.0,control
2325200.0,control
2325201.0,control
2325203.0,control
2325205.0,control
2325206.0,control
2325210.0,control
2325212.0,control
2325214.0,control
2325216.0,control
2325218.0,control
2325220.0,control
2325222.0,control
2325224.0,control
2325251.0,chr1:24069872-24088548
2325274.0,chr1:24104888-24115106
